nohup: ignoring input
Device:  cuda
Loading the dataset into memory...
Building the vocabulary...
Setting up data loaders...
Creating necessary directories...
Loaded checkpoint from epoch 1053
Starting the training...
Epoch [1054], Train Loss: 0.0861157757, Test Loss: 0.0869298453
Epoch [1087], Train Loss: 0.0850581762, Test Loss: 0.0845738322
Epoch [1088], Train Loss: 0.0846509343, Test Loss: 0.0877655043
Epoch [1089], Train Loss: 0.0844263181, Test Loss: 0.0828820110
Epoch [1090], Train Loss: 0.0844778733, Test Loss: 0.0849341763
Epoch [1091], Train Loss: 0.0848264679, Test Loss: 0.0840182965
Epoch [1092], Train Loss: 0.0841090410, Test Loss: 0.0847201731
Epoch [1093], Train Loss: 0.0841451644, Test Loss: 0.0835195808
Epoch [1094], Train Loss: 0.0844405349, Test Loss: 0.0834006959
Epoch [1095], Train Loss: 0.0842988886, Test Loss: 0.0857138159
Epoch [1096], Train Loss: 0.0844405445, Test Loss: 0.0846942326
Epoch [1097], Train Loss: 0.0847725871, Test Loss: 0.0834249131
Epoch [1098], Train Loss: 0.0838466857, Test Loss: 0.0827959319
Epoch [1099], Train Loss: 0.0842563743, Test Loss: 0.0833974890
Epoch [1100], Train Loss: 0.0836871589, Test Loss: 0.0869888934
Epoch [1101], Train Loss: 0.0840468378, Test Loss: 0.0844844250
Epoch [1102], Train Loss: 0.0836245788, Test Loss: 0.0848522251
Epoch [1103], Train Loss: 0.0845633990, Test Loss: 0.0828585461
Epoch [1104], Train Loss: 0.0842414338, Test Loss: 0.0832940075
Epoch [1105], Train Loss: 0.0842591546, Test Loss: 0.0846000688
Epoch [1106], Train Loss: 0.0837397290, Test Loss: 0.0826713139
Epoch [1107], Train Loss: 0.0837647359, Test Loss: 0.0835289273
Epoch [1108], Train Loss: 0.0841480508, Test Loss: 0.0832830332
Epoch [1109], Train Loss: 0.0842676459, Test Loss: 0.0826804015
Epoch [1110], Train Loss: 0.0839992393, Test Loss: 0.0847921636
Epoch [1111], Train Loss: 0.0835590004, Test Loss: 0.0828361322
Epoch [1112], Train Loss: 0.0839589782, Test Loss: 0.0827723051
Epoch [1113], Train Loss: 0.0840899323, Test Loss: 0.0851711267
Epoch [1114], Train Loss: 0.0836897323, Test Loss: 0.0836982763
Epoch [1115], Train Loss: 0.0835184677, Test Loss: 0.0826837164
Epoch [1116], Train Loss: 0.0835738148, Test Loss: 0.0826006628
Epoch [1117], Train Loss: 0.0834358467, Test Loss: 0.0855210905
Epoch [1118], Train Loss: 0.0832343622, Test Loss: 0.0836911470
Epoch [1119], Train Loss: 0.0834512216, Test Loss: 0.0827740709
Epoch [1120], Train Loss: 0.0833464470, Test Loss: 0.0830044978
Epoch [1121], Train Loss: 0.0831680580, Test Loss: 0.0824755354
Epoch [1122], Train Loss: 0.0836827298, Test Loss: 0.0837984953
Epoch [1123], Train Loss: 0.0839080640, Test Loss: 0.0845310011
Epoch [1124], Train Loss: 0.0840451828, Test Loss: 0.0826355867
Epoch [1125], Train Loss: 0.0829674413, Test Loss: 0.0833482147
Epoch [1126], Train Loss: 0.0831450635, Test Loss: 0.0833081686
Epoch [1127], Train Loss: 0.0840132190, Test Loss: 0.0861092512
Epoch [1128], Train Loss: 0.0834055189, Test Loss: 0.0861935474
Epoch [1129], Train Loss: 0.0834673666, Test Loss: 0.0832933115
Epoch [1130], Train Loss: 0.0829013119, Test Loss: 0.0828748324
Epoch [1131], Train Loss: 0.0834908853, Test Loss: 0.0827846440
Epoch [1132], Train Loss: 0.0837697305, Test Loss: 0.0828961140
Epoch [1133], Train Loss: 0.0834984062, Test Loss: 0.0825725507
Epoch [1134], Train Loss: 0.0832488483, Test Loss: 0.0826148644
Epoch [1135], Train Loss: 0.0828477064, Test Loss: 0.0826983907
Epoch [1136], Train Loss: 0.0830522459, Test Loss: 0.0825690313
Epoch [1137], Train Loss: 0.0835117029, Test Loss: 0.0822271665
Epoch [1138], Train Loss: 0.0830381049, Test Loss: 0.0825980217
Epoch [1139], Train Loss: 0.0829539777, Test Loss: 0.0841497083
Epoch [1140], Train Loss: 0.0827074704, Test Loss: 0.0851302805
Epoch [1141], Train Loss: 0.0827882785, Test Loss: 0.0835219210
Epoch [1142], Train Loss: 0.0825697386, Test Loss: 0.0836088423
Epoch [1143], Train Loss: 0.0827524261, Test Loss: 0.0850688837
Epoch [1144], Train Loss: 0.0833568031, Test Loss: 0.0826612053
Epoch [1145], Train Loss: 0.0827659914, Test Loss: 0.0823371448
Epoch [1146], Train Loss: 0.0825872086, Test Loss: 0.0843440465
Epoch [1147], Train Loss: 0.0829565284, Test Loss: 0.0822933281
Epoch [1148], Train Loss: 0.0824238558, Test Loss: 0.0836936822
Epoch [1149], Train Loss: 0.0825037885, Test Loss: 0.0823545030
Epoch [1150], Train Loss: 0.0825726010, Test Loss: 0.0853829128
Epoch [1151], Train Loss: 0.0827500332, Test Loss: 0.0820871813
Epoch [1152], Train Loss: 0.0827921002, Test Loss: 0.0845601637
Epoch [1153], Train Loss: 0.0828434004, Test Loss: 0.0823500917
Epoch [1154], Train Loss: 0.0827185136, Test Loss: 0.0826786435
Epoch [1155], Train Loss: 0.0829225323, Test Loss: 0.0844512677
Epoch [1156], Train Loss: 0.0829770358, Test Loss: 0.0843656867
Epoch [1157], Train Loss: 0.0824635267, Test Loss: 0.0820586184
Epoch [1158], Train Loss: 0.0828262643, Test Loss: 0.0857609439
Epoch [1159], Train Loss: 0.0826078872, Test Loss: 0.0835988203
Epoch [1160], Train Loss: 0.0821960884, Test Loss: 0.0842618852
Epoch [1161], Train Loss: 0.0822914479, Test Loss: 0.0830705256
Epoch [1162], Train Loss: 0.0823493275, Test Loss: 0.0833564889
Epoch [1163], Train Loss: 0.0825119120, Test Loss: 0.0836262214
Epoch [1164], Train Loss: 0.0824856852, Test Loss: 0.0828726647
Epoch [1165], Train Loss: 0.0827490295, Test Loss: 0.0823969224
Epoch [1166], Train Loss: 0.0820070643, Test Loss: 0.0893613408
Epoch [1167], Train Loss: 0.0821928591, Test Loss: 0.0822255393
Epoch [1168], Train Loss: 0.0824745911, Test Loss: 0.0818316714
Epoch [1169], Train Loss: 0.0821435576, Test Loss: 0.0828177862
Epoch [1170], Train Loss: 0.0822146855, Test Loss: 0.0825572889
Epoch [1171], Train Loss: 0.0822696343, Test Loss: 0.0826429358
Epoch [1172], Train Loss: 0.0817393229, Test Loss: 0.0830196329
Epoch [1173], Train Loss: 0.0818532341, Test Loss: 0.0821426305
Epoch [1174], Train Loss: 0.0819325914, Test Loss: 0.0838925836
Epoch [1175], Train Loss: 0.0819817691, Test Loss: 0.0823124937
Epoch [1176], Train Loss: 0.0820315838, Test Loss: 0.0834503886
Epoch [1177], Train Loss: 0.0823451294, Test Loss: 0.0847473650
Epoch [1178], Train Loss: 0.0817107079, Test Loss: 0.0817409546
Epoch [1179], Train Loss: 0.0820876791, Test Loss: 0.0840821647
Epoch [1180], Train Loss: 0.0816992793, Test Loss: 0.0853263482
Epoch [1181], Train Loss: 0.0824563844, Test Loss: 0.0849913436
Epoch [1182], Train Loss: 0.0814854639, Test Loss: 0.0876705193
Epoch [1183], Train Loss: 0.0813166045, Test Loss: 0.0864814518
Epoch [1184], Train Loss: 0.0819062722, Test Loss: 0.0830976600
Epoch [1185], Train Loss: 0.0812054341, Test Loss: 0.0818186223
Epoch [1186], Train Loss: 0.0815061394, Test Loss: 0.0849627193
Epoch [1187], Train Loss: 0.0812303498, Test Loss: 0.0837799434
Epoch [1188], Train Loss: 0.0814655653, Test Loss: 0.0841042265
Epoch [1189], Train Loss: 0.0817130893, Test Loss: 0.0816586125
Epoch [1190], Train Loss: 0.0815401731, Test Loss: 0.0847551559
Epoch [1191], Train Loss: 0.0809154530, Test Loss: 0.0838790327
Epoch [1192], Train Loss: 0.0807340825, Test Loss: 0.0830135324
Epoch [1193], Train Loss: 0.0812073915, Test Loss: 0.0823386232
Epoch [1194], Train Loss: 0.0819413684, Test Loss: 0.0831518792
Epoch [1195], Train Loss: 0.0816489615, Test Loss: 0.0871693216
Epoch [1196], Train Loss: 0.0811741104, Test Loss: 0.0846899357
Epoch [1197], Train Loss: 0.0811189049, Test Loss: 0.0828681914
Epoch [1198], Train Loss: 0.0811165700, Test Loss: 0.0868261238
Epoch [1199], Train Loss: 0.0814185017, Test Loss: 0.0850508712
Epoch [1200], Train Loss: 0.0806911226, Test Loss: 0.0848507574
Epoch [1201], Train Loss: 0.0814137638, Test Loss: 0.0818850318
Epoch [1202], Train Loss: 0.0812824851, Test Loss: 0.0825475678
Epoch [1203], Train Loss: 0.0811922650, Test Loss: 0.0814482244
Epoch [1204], Train Loss: 0.0813357786, Test Loss: 0.0829521312
Epoch [1205], Train Loss: 0.0811447313, Test Loss: 0.0844843073
Epoch [1206], Train Loss: 0.0812143337, Test Loss: 0.0836892460
Epoch [1207], Train Loss: 0.0812767041, Test Loss: 0.0820196178
Epoch [1208], Train Loss: 0.0807932992, Test Loss: 0.0882344139
Epoch [1209], Train Loss: 0.0810641159, Test Loss: 0.0835776552
Epoch [1210], Train Loss: 0.0811635997, Test Loss: 0.0838168272
Epoch [1211], Train Loss: 0.0805323663, Test Loss: 0.0831007776
Epoch [1212], Train Loss: 0.0809272904, Test Loss: 0.0841637336
Epoch [1213], Train Loss: 0.0805028841, Test Loss: 0.0831826007
Epoch [1214], Train Loss: 0.0806074512, Test Loss: 0.0815229945
Epoch [1215], Train Loss: 0.0813810749, Test Loss: 0.0819858468
Epoch [1216], Train Loss: 0.0806110452, Test Loss: 0.0829707322
Epoch [1217], Train Loss: 0.0808063811, Test Loss: 0.0814487032
Epoch [1218], Train Loss: 0.0802939232, Test Loss: 0.0872532567
Epoch [1219], Train Loss: 0.0806979700, Test Loss: 0.0817240172
Epoch [1220], Train Loss: 0.0806437026, Test Loss: 0.0869785846
Epoch [1221], Train Loss: 0.0805567236, Test Loss: 0.0837410687
Epoch [1222], Train Loss: 0.0808753091, Test Loss: 0.0812586668
Epoch [1223], Train Loss: 0.0805259526, Test Loss: 0.0815318805
Epoch [1224], Train Loss: 0.0804954272, Test Loss: 0.0827293061
Epoch [1225], Train Loss: 0.0806844475, Test Loss: 0.0845012861
Epoch [1226], Train Loss: 0.0804479017, Test Loss: 0.0841006873
Epoch [1227], Train Loss: 0.0808672514, Test Loss: 0.0825138285
Epoch [1228], Train Loss: 0.0802729367, Test Loss: 0.0832515538
Epoch [1229], Train Loss: 0.0801062586, Test Loss: 0.0834804790
Epoch [1230], Train Loss: 0.0801626441, Test Loss: 0.0838044617
Epoch [1231], Train Loss: 0.0800761197, Test Loss: 0.0827150677
Epoch [1232], Train Loss: 0.0802679564, Test Loss: 0.0846815413
Epoch [1233], Train Loss: 0.0801506632, Test Loss: 0.0830956634
Epoch [1234], Train Loss: 0.0804367484, Test Loss: 0.0822672993
Epoch [1235], Train Loss: 0.0800339990, Test Loss: 0.0876750492
Epoch [1236], Train Loss: 0.0801788983, Test Loss: 0.0824694669
Epoch [1237], Train Loss: 0.0804671130, Test Loss: 0.0836637339
Epoch [1238], Train Loss: 0.0793914063, Test Loss: 0.0859420790
Epoch [1239], Train Loss: 0.0802253553, Test Loss: 0.0816466781
Epoch [1240], Train Loss: 0.0797482334, Test Loss: 0.0844891920
Epoch [1241], Train Loss: 0.0799766433, Test Loss: 0.0844549834
Epoch [1242], Train Loss: 0.0801063923, Test Loss: 0.0816389302
Epoch [1243], Train Loss: 0.0798603170, Test Loss: 0.0816547867
Epoch [1244], Train Loss: 0.0802204387, Test Loss: 0.0835030808
Epoch [1245], Train Loss: 0.0799717677, Test Loss: 0.0855591088
Epoch [1246], Train Loss: 0.0795852571, Test Loss: 0.0831131457
Epoch [1247], Train Loss: 0.0797961930, Test Loss: 0.0811203011
Epoch [1248], Train Loss: 0.0793948761, Test Loss: 0.0837275721
Epoch [1249], Train Loss: 0.0800666510, Test Loss: 0.0849538745
Epoch [1250], Train Loss: 0.0801035959, Test Loss: 0.0831163028
Epoch [1251], Train Loss: 0.0800384813, Test Loss: 0.0822002622
Epoch [1252], Train Loss: 0.0798286246, Test Loss: 0.0823425012
Epoch [1253], Train Loss: 0.0799085871, Test Loss: 0.0824067440
Epoch [1254], Train Loss: 0.0793914511, Test Loss: 0.0836695509
Epoch [1255], Train Loss: 0.0799220189, Test Loss: 0.0833377205
Epoch [1256], Train Loss: 0.0797296895, Test Loss: 0.0835663546
Epoch [1257], Train Loss: 0.0792425426, Test Loss: 0.0850824711
Epoch [1258], Train Loss: 0.0798643688, Test Loss: 0.0821091959
Epoch [1259], Train Loss: 0.0791042064, Test Loss: 0.0814954306
Epoch [1260], Train Loss: 0.0798829984, Test Loss: 0.0810645505
Epoch [1261], Train Loss: 0.0794588257, Test Loss: 0.0811270172
Epoch [1262], Train Loss: 0.0792258459, Test Loss: 0.0820028765
Epoch [1263], Train Loss: 0.0796420313, Test Loss: 0.0852619841
Epoch [1264], Train Loss: 0.0796698778, Test Loss: 0.0831268940
Epoch [1265], Train Loss: 0.0798461456, Test Loss: 0.0833973096
Epoch [1266], Train Loss: 0.0795067788, Test Loss: 0.0808127234
Epoch [1267], Train Loss: 0.0792034626, Test Loss: 0.0851937667
Epoch [1268], Train Loss: 0.0794147226, Test Loss: 0.0837662907
Epoch [1269], Train Loss: 0.0795091233, Test Loss: 0.0815375920
Epoch [1270], Train Loss: 0.0793835106, Test Loss: 0.0858413164
Epoch [1271], Train Loss: 0.0794652165, Test Loss: 0.0811325261
Epoch [1272], Train Loss: 0.0791158473, Test Loss: 0.0821300803
Epoch [1273], Train Loss: 0.0795018669, Test Loss: 0.0849897377
Epoch [1274], Train Loss: 0.0795466303, Test Loss: 0.0851682196
Epoch [1275], Train Loss: 0.0790784595, Test Loss: 0.0815615436
Epoch [1276], Train Loss: 0.0790636319, Test Loss: 0.0823695123
Epoch [1277], Train Loss: 0.0792028404, Test Loss: 0.0814122447
Epoch [1278], Train Loss: 0.0791272691, Test Loss: 0.0806808051
Epoch [1279], Train Loss: 0.0789429087, Test Loss: 0.0828842006
Epoch [1280], Train Loss: 0.0794964458, Test Loss: 0.0808252176
Epoch [1281], Train Loss: 0.0791067196, Test Loss: 0.0826552873
Epoch [1282], Train Loss: 0.0790919060, Test Loss: 0.0806012214
Epoch [1283], Train Loss: 0.0791172327, Test Loss: 0.0820002167
Epoch [1284], Train Loss: 0.0790186990, Test Loss: 0.0817003890
Epoch [1285], Train Loss: 0.0788723828, Test Loss: 0.0811730003
Epoch [1286], Train Loss: 0.0786480570, Test Loss: 0.0829672753
Epoch [1287], Train Loss: 0.0792532643, Test Loss: 0.0840513357
Epoch [1288], Train Loss: 0.0792460600, Test Loss: 0.0832453264
Epoch [1289], Train Loss: 0.0789756061, Test Loss: 0.0817354848
Epoch [1290], Train Loss: 0.0788821282, Test Loss: 0.0838718313
Epoch [1291], Train Loss: 0.0788367963, Test Loss: 0.0843520019
Epoch [1292], Train Loss: 0.0786431758, Test Loss: 0.0812556454
Epoch [1293], Train Loss: 0.0786022504, Test Loss: 0.0889795944
Epoch [1294], Train Loss: 0.0787748823, Test Loss: 0.0840146042
Epoch [1295], Train Loss: 0.0785633916, Test Loss: 0.0818661090
Epoch [1296], Train Loss: 0.0788681661, Test Loss: 0.0860728789
Epoch [1297], Train Loss: 0.0789173573, Test Loss: 0.0825389287
Epoch [1298], Train Loss: 0.0786589630, Test Loss: 0.0880865222
Epoch [1299], Train Loss: 0.0785888401, Test Loss: 0.0831940404
Epoch [1300], Train Loss: 0.0787841611, Test Loss: 0.0816607113
Epoch [1301], Train Loss: 0.0784789589, Test Loss: 0.0827369752
Epoch [1302], Train Loss: 0.0786976703, Test Loss: 0.0836957948
Epoch [1303], Train Loss: 0.0785913751, Test Loss: 0.0838540660
Epoch [1304], Train Loss: 0.0781840594, Test Loss: 0.0807071894
Epoch [1305], Train Loss: 0.0787368530, Test Loss: 0.0829286722
Epoch [1306], Train Loss: 0.0784452113, Test Loss: 0.0848928864
Epoch [1307], Train Loss: 0.0787599968, Test Loss: 0.0816905261
Epoch [1308], Train Loss: 0.0780774844, Test Loss: 0.0820220805
Epoch [1309], Train Loss: 0.0782336687, Test Loss: 0.0819751088
Epoch [1310], Train Loss: 0.0783654419, Test Loss: 0.0847008379
Epoch [1311], Train Loss: 0.0783607620, Test Loss: 0.0817831137
Epoch [1312], Train Loss: 0.0783710271, Test Loss: 0.0812177669
Epoch [1313], Train Loss: 0.0781820987, Test Loss: 0.0823832078
Epoch [1314], Train Loss: 0.0789272806, Test Loss: 0.0851094890
Epoch [1315], Train Loss: 0.0777736840, Test Loss: 0.0863509633
Epoch [1316], Train Loss: 0.0778991242, Test Loss: 0.0805263970
Epoch [1317], Train Loss: 0.0780982816, Test Loss: 0.0808932160
Epoch [1318], Train Loss: 0.0782689819, Test Loss: 0.0821283185
Epoch [1319], Train Loss: 0.0786818438, Test Loss: 0.0817679647
Epoch [1320], Train Loss: 0.0784021949, Test Loss: 0.0821946555
Epoch [1321], Train Loss: 0.0780960203, Test Loss: 0.0808954673
Epoch [1322], Train Loss: 0.0778520159, Test Loss: 0.0836370449
Epoch [1323], Train Loss: 0.0777507712, Test Loss: 0.0823652130
Epoch [1324], Train Loss: 0.0782052446, Test Loss: 0.0827939971
Epoch [1325], Train Loss: 0.0778401533, Test Loss: 0.0806166111
Epoch [1326], Train Loss: 0.0776637779, Test Loss: 0.0822014023
Epoch [1327], Train Loss: 0.0780062501, Test Loss: 0.0831364786
Epoch [1328], Train Loss: 0.0777299130, Test Loss: 0.0814107199
Epoch [1329], Train Loss: 0.0774709656, Test Loss: 0.0819254833
Epoch [1330], Train Loss: 0.0778378376, Test Loss: 0.0825918229
Epoch [1331], Train Loss: 0.0781390940, Test Loss: 0.0820746789
Epoch [1332], Train Loss: 0.0777198424, Test Loss: 0.0814137153
Epoch [1333], Train Loss: 0.0777007562, Test Loss: 0.0808078499
Epoch [1334], Train Loss: 0.0780507491, Test Loss: 0.0849359643
Epoch [1335], Train Loss: 0.0780046170, Test Loss: 0.0827794110
Epoch [1336], Train Loss: 0.0776131887, Test Loss: 0.0804681131
Epoch [1337], Train Loss: 0.0777109137, Test Loss: 0.0828693460
Epoch [1338], Train Loss: 0.0773173865, Test Loss: 0.0821417093
Epoch [1339], Train Loss: 0.0781636758, Test Loss: 0.0813935838
Epoch [1340], Train Loss: 0.0777345986, Test Loss: 0.0850613470
Epoch [1341], Train Loss: 0.0775619759, Test Loss: 0.0838953255
Epoch [1342], Train Loss: 0.0776288998, Test Loss: 0.0812837667
Epoch [1343], Train Loss: 0.0779592589, Test Loss: 0.0840933348
Epoch [1344], Train Loss: 0.0772803721, Test Loss: 0.0832002169
Epoch [1345], Train Loss: 0.0775897215, Test Loss: 0.0807460080
Epoch [1346], Train Loss: 0.0778261554, Test Loss: 0.0810873761
Epoch [1347], Train Loss: 0.0772129925, Test Loss: 0.0852577895
Epoch [1348], Train Loss: 0.0772552530, Test Loss: 0.0822691952
Epoch [1349], Train Loss: 0.0769854881, Test Loss: 0.0814328638
Epoch [1350], Train Loss: 0.0773758226, Test Loss: 0.0814322325
Epoch [1351], Train Loss: 0.0775470750, Test Loss: 0.0846978510
Epoch [1352], Train Loss: 0.0776248556, Test Loss: 0.0827190365
Epoch [1353], Train Loss: 0.0771029669, Test Loss: 0.0812982718
Epoch [1354], Train Loss: 0.0771599412, Test Loss: 0.0844569907
Epoch [1355], Train Loss: 0.0774674940, Test Loss: 0.0819620621
Epoch [1356], Train Loss: 0.0773827012, Test Loss: 0.0811119507
Epoch [1357], Train Loss: 0.0771625787, Test Loss: 0.0846672952
Epoch [1358], Train Loss: 0.0769594482, Test Loss: 0.0811281979
Epoch [1359], Train Loss: 0.0771341523, Test Loss: 0.0829825097
Epoch [1360], Train Loss: 0.0774231225, Test Loss: 0.0818990450
Epoch [1361], Train Loss: 0.0775434125, Test Loss: 0.0860956198
Epoch [1362], Train Loss: 0.0770498608, Test Loss: 0.0819091085
Epoch [1363], Train Loss: 0.0768164100, Test Loss: 0.0828118674
Epoch [1364], Train Loss: 0.0771517424, Test Loss: 0.0832272580
Epoch [1365], Train Loss: 0.0770035478, Test Loss: 0.0802310524
Epoch [1366], Train Loss: 0.0773209626, Test Loss: 0.0805355626
Epoch [1367], Train Loss: 0.0774185069, Test Loss: 0.0798225231
Epoch [1368], Train Loss: 0.0770344846, Test Loss: 0.0819246848
Epoch [1369], Train Loss: 0.0776039685, Test Loss: 0.0834703034
Epoch [1370], Train Loss: 0.0771100344, Test Loss: 0.0812946014
Epoch [1371], Train Loss: 0.0771181243, Test Loss: 0.0800584299
Epoch [1372], Train Loss: 0.0772491026, Test Loss: 0.0834515088
Epoch [1373], Train Loss: 0.0768911747, Test Loss: 0.0799265698
Epoch [1374], Train Loss: 0.0770418642, Test Loss: 0.0827254785
Epoch [1375], Train Loss: 0.0765759995, Test Loss: 0.0830092325
Epoch [1376], Train Loss: 0.0772240925, Test Loss: 0.0825749591
Epoch [1377], Train Loss: 0.0764211238, Test Loss: 0.0797495206
Epoch [1378], Train Loss: 0.0771673469, Test Loss: 0.0819688227
Epoch [1379], Train Loss: 0.0767007597, Test Loss: 0.0803126994
Epoch [1380], Train Loss: 0.0771851800, Test Loss: 0.0804095590
Epoch [1381], Train Loss: 0.0769305771, Test Loss: 0.0846352485
Epoch [1382], Train Loss: 0.0765645940, Test Loss: 0.0807648098
Epoch [1383], Train Loss: 0.0766531317, Test Loss: 0.0869374398
Epoch [1384], Train Loss: 0.0764264015, Test Loss: 0.0822395892
Epoch [1385], Train Loss: 0.0762422760, Test Loss: 0.0823347850
Epoch [1386], Train Loss: 0.0765364966, Test Loss: 0.0833625714
Epoch [1387], Train Loss: 0.0766945870, Test Loss: 0.0846176659
Epoch [1388], Train Loss: 0.0768742129, Test Loss: 0.0821713649
Epoch [1389], Train Loss: 0.0765386785, Test Loss: 0.0803476231
Epoch [1390], Train Loss: 0.0763687389, Test Loss: 0.0824348752
Epoch [1391], Train Loss: 0.0763694552, Test Loss: 0.0845517403
Epoch [1392], Train Loss: 0.0760051262, Test Loss: 0.0828884433
Epoch [1393], Train Loss: 0.0765223514, Test Loss: 0.0800744738
Epoch [1394], Train Loss: 0.0761965332, Test Loss: 0.0854098732
Epoch [1395], Train Loss: 0.0762924264, Test Loss: 0.0797392535
Epoch [1396], Train Loss: 0.0762306652, Test Loss: 0.0808186629
Epoch [1397], Train Loss: 0.0764923198, Test Loss: 0.0838460776
Epoch [1398], Train Loss: 0.0764020131, Test Loss: 0.0827997976
Epoch [1399], Train Loss: 0.0763952763, Test Loss: 0.0795804845
Epoch [1400], Train Loss: 0.0766641829, Test Loss: 0.0811294606
Epoch [1401], Train Loss: 0.0766755495, Test Loss: 0.0804058065
Epoch [1402], Train Loss: 0.0761807696, Test Loss: 0.0847367701
Epoch [1403], Train Loss: 0.0759372046, Test Loss: 0.0816753528
Epoch [1404], Train Loss: 0.0763597750, Test Loss: 0.0809661056
Epoch [1405], Train Loss: 0.0762764880, Test Loss: 0.0830930415
Epoch [1406], Train Loss: 0.0762622522, Test Loss: 0.0835300384
Epoch [1407], Train Loss: 0.0760762749, Test Loss: 0.0822085753
Epoch [1408], Train Loss: 0.0760914269, Test Loss: 0.0796388127
Epoch [1409], Train Loss: 0.0761561279, Test Loss: 0.0806979963
Epoch [1410], Train Loss: 0.0764427806, Test Loss: 0.0827202444
Epoch [1411], Train Loss: 0.0755503828, Test Loss: 0.0831580041
Epoch [1412], Train Loss: 0.0764789526, Test Loss: 0.0847026714
Epoch [1413], Train Loss: 0.0760494624, Test Loss: 0.0861590251
Epoch [1414], Train Loss: 0.0760847402, Test Loss: 0.0818919078
Epoch [1415], Train Loss: 0.0762442829, Test Loss: 0.0830061239
Epoch [1416], Train Loss: 0.0760449613, Test Loss: 0.0847478942
Epoch [1417], Train Loss: 0.0756690112, Test Loss: 0.0820016117
Epoch [1418], Train Loss: 0.0758935065, Test Loss: 0.0812116890
Epoch [1419], Train Loss: 0.0760806937, Test Loss: 0.0837819502
Epoch [1420], Train Loss: 0.0760728352, Test Loss: 0.0793963137
Epoch [1421], Train Loss: 0.0758794198, Test Loss: 0.0803374283
Epoch [1422], Train Loss: 0.0756849281, Test Loss: 0.0828156886
Epoch [1423], Train Loss: 0.0758615101, Test Loss: 0.0796373136
Epoch [1424], Train Loss: 0.0756493797, Test Loss: 0.0818473100
Epoch [1425], Train Loss: 0.0756556168, Test Loss: 0.0813772306
Epoch [1426], Train Loss: 0.0756839092, Test Loss: 0.0815429241
Epoch [1427], Train Loss: 0.0761641053, Test Loss: 0.0861473907
Epoch [1428], Train Loss: 0.0758987675, Test Loss: 0.0800650001
Epoch [1429], Train Loss: 0.0757845505, Test Loss: 0.0830025020
Epoch [1430], Train Loss: 0.0756075030, Test Loss: 0.0864632198
Epoch [1431], Train Loss: 0.0758693215, Test Loss: 0.0811899280
Epoch [1432], Train Loss: 0.0754821410, Test Loss: 0.0793971790
Epoch [1433], Train Loss: 0.0761895698, Test Loss: 0.0807402619
Epoch [1434], Train Loss: 0.0753283538, Test Loss: 0.0817349922
Epoch [1435], Train Loss: 0.0756522562, Test Loss: 0.0815732531
Epoch [1436], Train Loss: 0.0751339495, Test Loss: 0.0825872378
